FID,Geocodigo,Nome,MoradDPPOColetDomicServLimpTot,MoradDPPOColetTot,MoradDPPODepCacambServLimpTot,MoradDPPOTot,PercMoradDPPOColetDomicServLimpTot,PercMoradDPPOColetTot,PercMoradDPPODepCacambServLimpTot
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1344,2601102,Araripina - PE,51103,53110,2007,85065,60.08,62.43,2.36
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1343,2928059,Santa Luzia - BA,8539,9077,538,13808,61.84,65.74,3.9
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1342,2928109,Santa Maria da Vitória - BA,25119,26891,1772,38542,65.17,69.77,4.6
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1341,2928208,Santana - BA,12598,14161,1563,24692,51.02,57.35,6.33
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1340,2601201,Arcoverde - PE,70186,72259,2073,76761,91.43,94.14,2.7
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-133f,2928307,Santanópolis - BA,4653,5906,1253,8716,53.38,67.76,14.38
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-133e,2928406,Santa Rita de Cássia - BA,17448,18256,808,27339,63.82,66.78,2.96
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-133d,2928505,Santa Terezinha - BA,6473,6872,399,10425,62.09,65.92,3.83
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-133c,2928604,Santo Amaro - BA,46685,48968,2283,55771,83.71,87.8,4.09
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-133b,2928703,Santo Antônio de Jesus - BA,82929,92298,9369,102788,80.68,89.79,9.11
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-133a,2928802,Santo Estêvão - BA,34211,36374,2163,52213,65.52,69.66,4.14
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1339,2928901,São Desidério - BA,19545,21223,1678,32675,59.82,64.95,5.14
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1338,2928950,São Domingos - BA,6863,7514,651,8426,81.45,89.18,7.73
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1337,2929008,São Félix - BA,5789,7221,1432,11021,52.53,65.52,12.99
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1336,2929057,São Félix do Coribe - BA,11320,11697,377,15183,74.56,77.04,2.48
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1335,2929107,São Felipe - BA,13246,15679,2433,20162,65.7,77.77,12.07
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1334,2929206,São Francisco do Conde - BA,23214,37537,14323,38675,60.02,97.06,37.03
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1333,2929255,São Gabriel - BA,15406,15611,205,18582,82.91,84.01,1.1
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1332,2929305,São Gonçalo dos Campos - BA,33204,33832,628,39496,84.07,85.66,1.59
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1331,2929354,São José da Vitória - BA,4234,4506,272,5314,79.68,84.79,5.12
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1330,2929370,São José do Jacuípe - BA,5885,8179,2294,10176,57.83,80.38,22.54
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-132f,2929404,São Miguel das Matas - BA,3979,4251,272,10333,38.51,41.14,2.63
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-132e,2929503,São Sebastião do Passé - BA,31322,35389,4067,40913,76.56,86.5,9.94
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-132d,2929602,Sapeaçu - BA,12394,13421,1027,17943,69.07,74.8,5.72
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-132c,2929701,Sátiro Dias - BA,9050,9560,510,15985,56.62,59.81,3.19
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-132b,2929750,Saubara - BA,8941,10927,1986,11411,78.35,95.76,17.4
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-132a,2929800,Saúde - BA,6618,7679,1061,10466,63.23,73.37,10.14
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1329,2929909,Seabra - BA,32155,34313,2158,46112,69.73,74.41,4.68
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1328,2930006,Sebastião Laranjeiras - BA,4268,5423,1155,9353,45.63,57.98,12.35
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1327,2930105,Senhor do Bonfim - BA,66014,67835,1821,74355,88.78,91.23,2.45
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1326,2930154,Serra do Ramalho - BA,11267,12904,1637,34159,32.98,37.78,4.79
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1325,2930204,Sento Sé - BA,28276,29275,999,37966,74.48,77.11,2.63
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1324,2601300,Barra de Guabiraba - PE,10705,10980,275,12248,87.4,89.65,2.25
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1323,2930303,Serra Dourada - BA,8143,8290,147,17056,47.74,48.6,0.86
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1322,2930402,Serra Preta - BA,9876,12647,2771,17970,54.96,70.38,15.42
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1321,2930501,Serrinha - BA,61135,64365,3230,80108,76.32,80.35,4.03
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1320,2930600,Serrolândia - BA,10652,11631,979,13306,80.05,87.41,7.36
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-131f,2930709,Simões Filho - BA,57884,107688,49804,113990,50.78,94.47,43.69
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-131e,2930758,Sítio do Mato - BA,5935,7187,1252,13393,44.31,53.66,9.35
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-131d,2930766,Sítio do Quinto - BA,9859,11202,1343,14755,66.82,75.92,9.1
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-131c,2930774,Sobradinho - BA,22887,23070,183,25442,89.96,90.68,0.72
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-131b,2930808,Souto Soares - BA,9573,9961,388,17051,56.14,58.42,2.28
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-131a,2930907,Tabocas do Brejo Velho - BA,4459,4611,152,11965,37.27,38.54,1.27
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1319,2931004,Tanhaçu - BA,9244,9988,744,21004,44.01,47.55,3.54
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1318,2931053,Tanque Novo - BA,9278,9469,191,17148,54.11,55.22,1.11
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1317,2931103,Tanquinho - BA,5992,6505,513,7713,77.69,84.34,6.65
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1316,2931202,Taperoá - BA,6649,10813,4164,18003,36.93,60.06,23.13
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1315,2931301,Tapiramutá - BA,12443,12900,457,15789,78.81,81.7,2.89
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1314,2931350,Teixeira de Freitas - BA,138083,140145,2062,144546,95.53,96.96,1.43
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1313,2931400,Teodoro Sampaio - BA,5040,6015,975,7091,71.08,84.83,13.75
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1312,2931509,Teofilândia - BA,15725,16614,889,21085,74.58,78.8,4.22
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1311,2931608,Teolândia - BA,4658,6484,1826,15308,30.43,42.36,11.93
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1310,2601409,Barreiros - PE,29723,35052,5329,40068,74.18,87.48,13.3
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-130f,2931707,Terra Nova - BA,8631,9820,1189,10790,79.99,91.01,11.02
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-130e,2931806,Tremedal - BA,5032,5776,744,16288,30.89,35.46,4.57
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-130d,2931905,Tucano - BA,35836,39052,3216,48660,73.65,80.25,6.61
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-130c,2932002,Uauá - BA,12636,14882,2246,24620,51.32,60.45,9.12
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-130b,2932101,Ubaíra - BA,11190,11628,438,18615,60.11,62.47,2.35
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-130a,2932200,Ubaitaba - BA,14671,16387,1716,17590,83.41,93.16,9.76
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1309,2932309,Ubatã - BA,13735,14376,641,16089,85.37,89.35,3.98
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1308,2932408,Uibaí - BA,13084,13111,27,13426,97.45,97.65,0.2
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1307,2932457,Umburanas - BA,7008,9863,2855,13621,51.45,72.41,20.96
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1306,2932507,Una - BA,12561,13862,1301,18031,69.66,76.88,7.22
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1305,2932606,Urandi - BA,8712,9118,406,15354,56.74,59.39,2.64
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1304,2932705,Uruçuca - BA,15423,16708,1285,21318,72.35,78.38,6.03
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1303,2601508,Belém de Maria - PE,6611,7505,894,10376,63.71,72.33,8.62
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1302,2601607,Belém do São Francisco - PE,10936,11036,100,18282,59.82,60.37,0.55
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1301,2603603,Camutanga - PE,6093,6481,388,7747,78.65,83.66,5.01
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1300,3103801,Arapuá - MG,2117,2161,44,2620,80.8,82.48,1.68
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12ff,3103900,Araújos - MG,7887,8840,953,9170,86.01,96.4,10.39
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12fe,2601706,Belo Jardim - PE,69530,71540,2010,79394,87.58,90.11,2.53
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12fd,3104007,Araxá - MG,108169,109913,1744,111064,97.39,98.96,1.57
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12fc,3104106,Arceburgo - MG,8289,8955,666,9126,90.83,98.13,7.3
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12fb,3104205,Arcos - MG,39519,40407,888,41110,96.13,98.29,2.16
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12fa,3104304,Areado - MG,12863,13404,541,13797,93.23,97.15,3.92
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12f9,3104403,Argirita - MG,2122,2360,238,2687,78.97,87.83,8.86
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12f8,3104452,Aricanduva - MG,2332,2346,14,4705,49.56,49.86,0.3
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12f7,3104502,Arinos - MG,11751,12027,276,17205,68.3,69.9,1.6
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12f6,3104601,Astolfo Dutra - MG,12551,12885,334,14100,89.01,91.38,2.37
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12f5,3104700,Ataléia - MG,6880,8130,1250,13709,50.19,59.3,9.12
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12f4,2601805,Betânia - PE,3905,3933,28,11216,34.82,35.07,0.25
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12f3,2601904,Bezerros - PE,51623,54759,3136,61540,83.89,88.98,5.1
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12f2,3104809,Augusto de Lima - MG,3641,3664,23,4515,80.64,81.15,0.51
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12f1,3104908,Baependi - MG,14199,15724,1525,18227,77.9,86.27,8.37
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12f0,3105004,Baldim - MG,5760,6312,552,7435,77.47,84.9,7.42
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12ef,3105103,Bambuí - MG,20821,21907,1086,23448,88.8,93.43,4.63
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12ee,3105202,Bandeira - MG,2729,3039,310,4721,57.81,64.37,6.57
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12ed,3105301,Bandeira do Sul - MG,5598,5915,317,5942,94.21,99.55,5.33
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12ec,3105400,Barão de Cocais - MG,22359,30002,7643,30681,72.88,97.79,24.91
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12eb,3105509,Barão de Monte Alto - MG,4413,4524,111,4963,88.92,91.15,2.24
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12ea,3105608,Barbacena - MG,114807,119486,4679,124441,92.26,96.02,3.76
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12e9,3105707,Barra Longa - MG,2729,4551,1822,5656,48.25,80.46,32.21
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12e8,3105905,Barroso - MG,19637,19802,165,20018,98.1,98.92,0.82
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12e7,3106002,Bela Vista de Minas - MG,9786,9853,67,10163,96.29,96.95,0.66
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12e6,3106101,Belmiro Braga - MG,2852,2949,97,3243,87.94,90.93,2.99
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12e5,3106200,Belo Horizonte - MG,2211570,2293200,81630,2306189,95.9,99.44,3.54
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12e4,3106309,Belo Oriente - MG,22074,22314,240,23907,92.33,93.34,1
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12e3,2602001,Bodocó - PE,11336,15686,4350,34441,32.91,45.54,12.63
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12e2,2604007,Carpina - PE,67681,70009,2328,79059,85.61,88.55,2.94
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12e1,2604106,Caruaru - PE,347710,359324,11614,376443,92.37,95.45,3.09
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12e0,3106408,Belo Vale - MG,5675,7409,1734,8610,65.91,86.05,20.14
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12df,3106507,Berilo - MG,4795,5175,380,9823,48.81,52.68,3.87
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12de,3106606,Bertópolis - MG,2665,2685,20,4444,59.97,60.42,0.45
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12dd,3106655,Berizal - MG,3462,3473,11,4185,82.72,82.99,0.26
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12dc,2602100,Bom Conselho - PE,26499,31052,4553,44205,59.95,70.25,10.3
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12db,2602407,Brejão - PE,4161,5435,1274,9071,45.87,59.92,14.04
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12da,2602506,Brejinho - PE,3828,5563,1735,7712,49.64,72.13,22.5
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12d9,2602605,Brejo da Madre de Deus - PE,32620,40824,8204,48591,67.13,84.02,16.88
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12d8,3106705,Betim - MG,397871,408970,11099,411186,96.76,99.46,2.7
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12d7,3106804,Bias Fortes - MG,2472,2635,163,3355,73.68,78.54,4.86
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12d6,3106903,Bicas - MG,13117,13480,363,13896,94.39,97.01,2.61
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12d5,2603207,Caetés - PE,8952,10504,1552,28810,31.07,36.46,5.39
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12d4,2603306,Calçado - PE,5891,6145,254,11082,53.16,55.45,2.29
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12d3,3107000,Biquinhas - MG,1728,1823,95,2383,72.51,76.5,3.99
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12d2,3107109,Boa Esperança - MG,28711,37413,8702,39727,72.27,94.18,21.9
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12d1,3107208,Bocaina de Minas - MG,3319,4611,1292,5322,62.36,86.64,24.28
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12d0,3107307,Bocaiúva - MG,40550,41540,990,47877,84.7,86.76,2.07
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12cf,3107406,Bom Despacho - MG,45659,49201,3542,51592,88.5,95.37,6.87
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12ce,3107505,Bom Jardim de Minas - MG,6242,6424,182,6757,92.38,95.07,2.69
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12cd,2603405,Calumbi - PE,2203,2404,201,5228,42.14,45.98,3.84
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12cc,2603454,Camaragibe - PE,118387,136827,18440,147459,80.28,92.79,12.51
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12cb,2604155,Casinhas - PE,4821,5631,810,12965,37.18,43.43,6.25
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12ca,2604205,Catende - PE,23941,24758,817,32063,74.67,77.22,2.55
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12c9,3107604,Bom Jesus da Penha - MG,3521,4194,673,4447,79.18,94.31,15.13
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12c8,3107703,Bom Jesus do Amparo - MG,4904,4953,49,5626,87.17,88.04,0.87
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12c7,3107802,Bom Jesus do Galho - MG,10070,10456,386,14491,69.49,72.16,2.66
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12c6,3107901,Bom Repouso - MG,10279,12000,1721,12644,81.3,94.91,13.61
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12c5,3108008,Bom Sucesso - MG,15253,16224,971,16984,89.81,95.53,5.72
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12c4,3108107,Bonfim - MG,4813,6191,1378,7388,65.15,83.8,18.65
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12c3,3108206,Bonfinópolis de Minas - MG,3826,4173,347,5457,70.11,76.47,6.36
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12c2,3108255,Bonito de Minas - MG,3506,3523,17,10200,34.37,34.54,0.17
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12c1,3108305,Borda da Mata - MG,15057,16548,1491,17359,86.74,95.33,8.59
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12c0,3108404,Botelhos - MG,11620,13978,2358,14683,79.14,95.2,16.06
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12bf,3108503,Botumirim - MG,3307,3385,78,5779,57.22,58.57,1.35
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12be,2603504,Camocim de São Félix - PE,12353,16416,4063,17389,71.04,94.4,23.37
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12bd,2607307,Ipubi - PE,17114,17455,341,28996,59.02,60.2,1.18
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12bc,3108552,Brasilândia de Minas - MG,13588,13706,118,15014,90.5,91.29,0.79
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12bb,3108602,Brasília de Minas - MG,20596,22085,1489,31982,64.4,69.05,4.66
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12ba,3108701,Brás Pires - MG,2834,3306,472,4215,67.24,78.43,11.2
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12b9,3108800,Braúnas - MG,1963,2200,237,4437,44.24,49.58,5.34
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12b8,3108909,Brazópolis - MG,10403,13777,3374,14154,73.5,97.34,23.84
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12b7,3109006,Brumadinho - MG,33343,38080,4737,38678,86.21,98.45,12.25
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12b6,3109105,Bueno Brandão - MG,5757,10271,4514,10851,53.06,94.65,41.6
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12b5,3109204,Buenópolis - MG,7343,7442,99,9091,80.77,81.86,1.09
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12b4,3109253,Bugre - MG,3114,3422,308,4040,77.08,84.7,7.62
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12b3,3109303,Buritis - MG,17349,19059,1710,23853,72.73,79.9,7.17
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12b2,2603702,Canhotinho - PE,15514,16433,919,22630,68.56,72.62,4.06
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12b1,2607406,Itacuruba - PE,3362,3486,124,4283,78.5,81.39,2.9
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12b0,2603801,Capoeiras - PE,7878,7939,61,18307,43.03,43.37,0.33
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12af,2607505,Itaíba - PE,11176,13387,2211,32603,34.28,41.06,6.78
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12ae,3109402,Buritizeiro - MG,21592,21664,72,23868,90.46,90.77,0.3
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12ad,3109451,Cabeceira Grande - MG,5526,5799,273,6627,83.39,87.51,4.12
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12ac,3109501,Cabo Verde - MG,9124,10956,1832,11380,80.18,96.27,16.1
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12ab,3109600,Cachoeira da Prata - MG,3516,3611,95,3692,95.23,97.81,2.57
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12aa,3109709,Cachoeira de Minas - MG,10126,11205,1079,11851,85.44,94.55,9.1
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-12a9,3109808,Cachoeira Dourada - MG,2051,2117,66,2298,89.25,92.12,2.87
